"id","country_id:id","name","code"
"state_co_565","base.co","BOLÍVAR / Cauca","19100"
"state_co_566","base.co","BUENOS AIRES / Cauca","19110"
"state_co_567","base.co","CAJIBÍO / Cauca","19130"
"state_co_568","base.co","CALDONO / Cauca","19137"
"state_co_569","base.co","CALOTO / Cauca","19142"
"state_co_570","base.co","CORINTO / Cauca","19212"
"state_co_571","base.co","EL TAMBO / Cauca","19256"
"state_co_572","base.co","FLORENCIA / Cauca","19290"
"state_co_573","base.co","GUAPI / Cauca","19318"
"state_co_574","base.co","INZÁ / Cauca","19355"
"state_co_575","base.co","JAMBALÓ / Cauca","19364"
"state_co_576","base.co","LA SIERRA / Cauca","19392"
"state_co_577","base.co","LA VEGA / Cauca","19397"
"state_co_578","base.co","LÓPEZ / Cauca","19418"
"state_co_579","base.co","MERCADERES / Cauca","19450"
"state_co_580","base.co","MIRANDA / Cauca","19455"
"state_co_581","base.co","MORALES / Cauca","19473"
"state_co_582","base.co","PADILLA / Cauca","19513"
"state_co_583","base.co","PAEZ / Cauca","19517"
"state_co_584","base.co","PATÍA / Cauca","19532"
"state_co_585","base.co","PIAMONTE / Cauca","19533"
"state_co_586","base.co","PIENDAMÓ / Cauca","19548"
"state_co_587","base.co","PUERTO TEJADA / Cauca","19573"
"state_co_588","base.co","PURACÉ / Cauca","19585"
"state_co_589","base.co","ROSAS / Cauca","19622"
"state_co_590","base.co","SAN SEBASTIÁN / Cauca","19693"
"state_co_591","base.co","SANTANDER DE QUILICHAO / Cauca","19698"
"state_co_592","base.co","SANTA ROSA / Cauca","19701"
"state_co_593","base.co","SILVIA / Cauca","19743"
"state_co_594","base.co","SOTARA / Cauca","19760"
"state_co_595","base.co","SUÁREZ / Cauca","19780"
"state_co_596","base.co","SUCRE / Cauca","19785"
"state_co_597","base.co","TIMBÍO / Cauca","19807"
"state_co_598","base.co","TIMBIQUÍ / Cauca","19809"
"state_co_599","base.co","TORIBIO / Cauca","19821"
"state_co_600","base.co","TOTORÓ / Cauca","19824"
"state_co_601","base.co","VILLA RICA / Cauca","19845"
"state_co_602","base.co","VALLEDUPAR / Cesar","20001"
"state_co_603","base.co","AGUACHICA / Cesar","20011"
"state_co_604","base.co","AGUSTÍN CODAZZI / Cesar","20013"
"state_co_605","base.co","ASTREA / Cesar","20032"
"state_co_606","base.co","BECERRIL / Cesar","20045"
"state_co_607","base.co","BOSCONIA / Cesar","20060"
"state_co_608","base.co","CHIMICHAGUA / Cesar","20175"
"state_co_609","base.co","CHIRIGUANÁ / Cesar","20178"
"state_co_610","base.co","CURUMANÍ / Cesar","20228"
"state_co_611","base.co","EL COPEY / Cesar","20238"
"state_co_612","base.co","EL PASO / Cesar","20250"
"state_co_613","base.co","GAMARRA / Cesar","20295"
"state_co_614","base.co","GONZÁLEZ / Cesar","20310"
"state_co_615","base.co","LA GLORIA / Cesar","20383"
"state_co_616","base.co","LA JAGUA DE IBIRICO / Cesar","20400"
"state_co_617","base.co","MANAURE / Cesar","20443"
"state_co_618","base.co","PAILITAS / Cesar","20517"
"state_co_619","base.co","PELAYA / Cesar","20550"
"state_co_620","base.co","PUEBLO BELLO / Cesar","20570"
"state_co_621","base.co","RÍO DE ORO / Cesar","20614"
"state_co_622","base.co","LA PAZ / Cesar","20621"
"state_co_623","base.co","SAN ALBERTO / Cesar","20710"
"state_co_624","base.co","SAN DIEGO / Cesar","20750"
"state_co_625","base.co","SAN MARTÍN / Cesar","20770"
"state_co_626","base.co","TAMALAMEQUE / Cesar","20787"
"state_co_627","base.co","MONTERÍA / Córdoba","23001"
"state_co_628","base.co","AYAPEL / Córdoba","23068"
"state_co_629","base.co","BUENAVISTA / Córdoba","23079"
"state_co_630","base.co","CANALETE / Córdoba","23090"
"state_co_631","base.co","CERETÉ / Córdoba","23162"
"state_co_632","base.co","CHIMÁ / Córdoba","23168"
"state_co_633","base.co","CHINÚ / Córdoba","23182"
"state_co_634","base.co","CIÉNAGA DE ORO / Córdoba","23189"
"state_co_635","base.co","COTORRA / Córdoba","23300"
"state_co_636","base.co","LA APARTADA / Córdoba","23350"
"state_co_637","base.co","LORICA / Córdoba","23417"
"state_co_638","base.co","LOS CÓRDOBAS / Córdoba","23419"
