id,code,name,user_type_id:id,reconcile,chart_template_id:id
ID_C151220,151220,EQUIPO MEDICO-CIENTIFICO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151225,151225,EQUIPO DE HOTELES Y RESTAURANTES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151230,151230,FLOTA Y EQUIPO DE TRANSPORTE,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151235,151235,FLOTA Y EQUIPO FLUVIAL Y/O MARITIMO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151240,151240,FLOTA Y EQUIPO AEREO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151245,151245,FLOTA Y EQUIPO FERREO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151250,151250,PLANTAS Y REDES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151299,151299,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151605,151605,EDIFICIOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151610,151610,OFICINAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151615,151615,ALMACENES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151620,151620,FABRICAS Y PLANTAS INDUSTRIALES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151625,151625,SALAS DE EXHIBICION Y VENTAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151630,151630,CAFETERIA Y CASINOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151635,151635,SILOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151640,151640,INVERNADEROS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151645,151645,CASETAS Y CAMPAMENTOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151650,151650,INSTALACIONES AGROPECUARIAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151655,151655,VIVIENDAS PARA EMPLEADOS Y OBREROS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151660,151660,TERMINAL DE BUSES Y TAXIS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151663,151663,TERMINAL MARITIMO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151665,151665,TERMINAL FERREO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151670,151670,PARQUEADEROS; GARAJES Y DEPOSITOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151675,151675,HANGARES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151680,151680,BODEGAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151695,151695,OTROS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151699,151699,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C152005,152005,MAQUINARIA Y EQUIPO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C152099,152099,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C152405,152405,MUEBLES Y ENSERES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C152410,152410,EQUIPOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C152495,152495,OTROS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C152499,152499,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C152805,152805,EQUIPOS DE PROCESAMIENTO DE DATOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C152810,152810,EQUIPOS DE TELECOMUNICACIONES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C152815,152815,EQUIPOS DE RADIO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C152820,152820,SATELITES Y ANTENAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C152825,152825,LINEAS TELEFONICAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C152895,152895,OTROS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C152899,152899,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C153205,153205,MEDICO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C153210,153210,ODONTOLOGICO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C153215,153215,LABORATORIO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C153220,153220,INSTRUMENTAL,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C153295,153295,OTROS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C153299,153299,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C153605,153605,DE HABITACIONES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C153610,153610,DE COMESTIBLES Y BEBIDAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C153695,153695,OTROS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C153699,153699,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154005,154005,AUTOS; CAMIONETAS Y CAMPEROS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154008,154008,CAMIONES; VOLQUETAS Y FURGONES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154010,154010,TRACTOMULAS Y REMOLQUES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154015,154015,BUSES Y BUSETAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154017,154017,RECOLECTORES Y CONTENEDORES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154020,154020,MONTACARGAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154025,154025,PALAS Y GRUAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154030,154030,MOTOCICLETAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154035,154035,BICICLETAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154040,154040,ESTIBAS Y CARRETAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154045,154045,BANDAS TRANSPORTADORAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154095,154095,OTROS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154099,154099,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154405,154405,BUQUES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154410,154410,LANCHAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154415,154415,REMOLCADORAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154420,154420,BOTES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154425,154425,BOYAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154430,154430,AMARRES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154435,154435,CONTENEDORES Y CHASSISES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154440,154440,GABARRAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154495,154495,OTROS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154499,154499,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154805,154805,AVIONES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154810,154810,AVIONETAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154815,154815,HELICOPTEROS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154820,154820,TURBINAS Y MOTORES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154825,154825,MANUALES DE ENTRENAMIENTO PERSONAL TECNICO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154830,154830,EQUIPOS DE VUELO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154895,154895,OTROS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C154899,154899,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C155205,155205,LOCOMOTORAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C155210,155210,VAGONES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C155215,155215,REDES FERREAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C155295,155295,OTROS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C155299,155299,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C155605,155605,INSTALACIONES PARA AGUA Y ENERGIA,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C155610,155610,ACUEDUCTO ACEQUIAS Y CANALIZACIONES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C155615,155615,PLANTAS DE GENERACION HIDRAULICA,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C155620,155620,PLANTAS DE GENERACION TERMICA,account.data_account_type_current_assets,false,l10n_co_comercial
